DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	1p36.13	1	18653380	PAX7	PAX7			ENSG00000009709			rs742071-T	rs742071	0	742071	intron_variant	0	NR	7E-09	8.15490195998574	(Meta-All, NSCL/P)	1.316	[1.126-1.537]	NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	2p21	2	43312986	THADA	THADA			ENSG00000115970			rs7590268-G	rs7590268	0	7590268	intron_variant	0	NR	1E-08	8	(Meta-All, NSCL/P)	1.415	[1.225-1.636]	NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	3p11.1	3	89485227	EPHA3	EPHA3 - MTCO2P6	ENSG00000044524	ENSG00000240951		3093	102659	rs7632427-T	rs7632427	0	7632427	intergenic_variant	1	NR	4E-08	7.39794000867204	(Meta-All, NSCL/P)	1.37	[1.20-1.55]	NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	8q21.3	8	87856112	NR	SOX5P1 - AC005066.1	ENSG00000254376	ENSG00000273978		66424	11489	rs12543318-C	rs12543318	0	12543318	intergenic_variant	1	NR	2E-08	7.69897000433602	(Meta-All, NSCL/P)	1.272	[1.106-1.463]	NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	13q31.1	13	80118676	SPRY2	AL137781.1			ENSG00000285684			rs8001641-A	rs8001641	0	8001641	non_coding_transcript_exon_variant	0	NR	3E-10	9.52287874528034	(Meta-All, NSCL/P)	1.307	[1.13-1.511]	NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	15q22.2	15	63020433	TPM1	AC079328.1 - TPM1	ENSG00000259394	ENSG00000140416		66309	22199	rs1873147-C	rs1873147	0	1873147	regulatory_region_variant	1	NR	8E-07	6.09691001300806	(Meta-All, NSCL/P)	1.431	[1.23-1.666]	NR [497084]	N
2015-04-29	22922875	Vithana EN	2012-08-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22922875	Genome-wide association analyses identify three new susceptibility loci for primary angle closure glaucoma.	Glaucoma (primary angle closure)	1,281 East Asian ancestry cases, 1,987 East Asian ancestry controls, 337 South Indian ancestry cases, 2,538 South Indian ancestry controls, 236 South East Asian ancestry cases, 5,083 South East Asian ancestry controls	1,545 East Asian ancestry cases, 3,756 East Asian ancestry controls, 165 Saudi Arabian ancestry cases, 175 Saudi Arabian ancestry controls, 127 European ancestry cases, 4,703 European ancestry controls, 80 Indian ancestry cases, 309 Indian ancestry controls	11p15.1	11	16987058	PLEKHA7	PLEKHA7			ENSG00000166689			rs11024102-G	rs11024102	0	11024102	intron_variant	0	NR	5E-12	11.301029995664		1.22	[NR]	Illumina [493501]	N
2015-04-29	22922875	Vithana EN	2012-08-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22922875	Genome-wide association analyses identify three new susceptibility loci for primary angle closure glaucoma.	Glaucoma (primary angle closure)	1,281 East Asian ancestry cases, 1,987 East Asian ancestry controls, 337 South Indian ancestry cases, 2,538 South Indian ancestry controls, 236 South East Asian ancestry cases, 5,083 South East Asian ancestry controls	1,545 East Asian ancestry cases, 3,756 East Asian ancestry controls, 165 Saudi Arabian ancestry cases, 175 Saudi Arabian ancestry controls, 127 European ancestry cases, 4,703 European ancestry controls, 80 Indian ancestry cases, 309 Indian ancestry controls	1p21.1	1	102914362	COL11A1	COL11A1			ENSG00000060718			rs3753841-G	rs3753841	0	3753841	missense_variant	0	NR	9E-10	9.04575749056068		1.2	[NR]	Illumina [493501]	N
2015-04-29	22922875	Vithana EN	2012-08-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22922875	Genome-wide association analyses identify three new susceptibility loci for primary angle closure glaucoma.	Glaucoma (primary angle closure)	1,281 East Asian ancestry cases, 1,987 East Asian ancestry controls, 337 South Indian ancestry cases, 2,538 South Indian ancestry controls, 236 South East Asian ancestry cases, 5,083 South East Asian ancestry controls	1,545 East Asian ancestry cases, 3,756 East Asian ancestry controls, 165 Saudi Arabian ancestry cases, 175 Saudi Arabian ancestry controls, 127 European ancestry cases, 4,703 European ancestry controls, 80 Indian ancestry cases, 309 Indian ancestry controls	8q11.23	8	51974981	PCMTD1-ST18	AC064807.2			ENSG00000253844			rs1015213-A	rs1015213	0	1015213	intron_variant	0	NR	3E-09	8.52287874528034		1.5	[NR]	Illumina [493501]	N
2015-04-29	22922875	Vithana EN	2012-08-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22922875	Genome-wide association analyses identify three new susceptibility loci for primary angle closure glaucoma.	Glaucoma (primary angle closure)	1,281 East Asian ancestry cases, 1,987 East Asian ancestry controls, 337 South Indian ancestry cases, 2,538 South Indian ancestry controls, 236 South East Asian ancestry cases, 5,083 South East Asian ancestry controls	1,545 East Asian ancestry cases, 3,756 East Asian ancestry controls, 165 Saudi Arabian ancestry cases, 175 Saudi Arabian ancestry controls, 127 European ancestry cases, 4,703 European ancestry controls, 80 Indian ancestry cases, 309 Indian ancestry controls	22q11.21	22	19902302	TXNRD2	TXNRD2			ENSG00000184470			rs3788317-?	rs3788317	0	3788317	intron_variant	0	NR	2E-07	6.69897000433602		1.22	[NR]	Illumina [493501]	N
2015-04-29	22922875	Vithana EN	2012-08-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22922875	Genome-wide association analyses identify three new susceptibility loci for primary angle closure glaucoma.	Glaucoma (primary angle closure)	1,281 East Asian ancestry cases, 1,987 East Asian ancestry controls, 337 South Indian ancestry cases, 2,538 South Indian ancestry controls, 236 South East Asian ancestry cases, 5,083 South East Asian ancestry controls	1,545 East Asian ancestry cases, 3,756 East Asian ancestry controls, 165 Saudi Arabian ancestry cases, 175 Saudi Arabian ancestry controls, 127 European ancestry cases, 4,703 European ancestry controls, 80 Indian ancestry cases, 309 Indian ancestry controls	1p21.1	1	104310116	NR	AC092506.1 - AL591888.1	ENSG00000215869	ENSG00000285981		83438	688290	rs10881542-?	rs10881542	0	10881542	intergenic_variant	1	NR	2E-06	5.69897000433602		1.18	[NR]	Illumina [493501]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	1p22.1	1	94087882	IRF6	ABCA4			ENSG00000198691			rs560426-G	rs560426	0	560426	intron_variant	0	NR	5E-10	9.30102999566398	(Meta-All, NSCLP)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	8q24.21	8	128933908	NR	CCDC26			ENSG00000229140			rs987525-A	rs987525	0	987525	intron_variant	0	NR	1E-26	26	(Meta-All, NSCLP)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	10q25.3	10	117068049	NR	SHTN1			ENSG00000187164			rs7078160-A	rs7078160	0	7078160	intron_variant	0	NR	6E-10	9.22184874961636	(Meta-All, NSCLP)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	13q31.1	13	80118676	SPRY2	AL137781.1			ENSG00000285684			rs8001641-A	rs8001641	0	8001641	non_coding_transcript_exon_variant	0	NR	9E-11	10.0457574905607	(Meta-All, NSCLP)	1.354	[1.141-1.607]	NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	8q24.21	8	128933908	NR	CCDC26			ENSG00000229140			rs987525-A	rs987525	0	987525	intron_variant	0	NR	2E-11	10.698970004336	(Meta-All, NSCLO)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	17p13.1	17	9040612	NR	NTN1			ENSG00000065320			rs8076457-?	rs8076457	0	8076457	intron_variant	0	NR	2E-07	6.69897000433602	(Meta-ALL, NSCL/P)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	2p24.2	2	16534140	NR	AC104623.1			ENSG00000237633			rs4441471-?	rs4441471	0	4441471	intron_variant	0	NR	8E-07	6.09691001300806	(Meta-All, NSCL/P)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	15q13.3	15	32758222	NR	GREM1 - FMN1	ENSG00000282046	ENSG00000282513		13115	7323	rs1258763-?	rs1258763	0	1258763	intergenic_variant	1	NR	2E-06	5.69897000433602	(Meta-All, NSCL/P)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	12q15	12	69661130	NR	AC025263.3, BEST3			ENSG00000279551, ENSG00000127325			rs1373453-?	rs1373453	0	1373453	non_coding_transcript_exon_variant	0	NR	2E-06	5.69897000433602	(Meta-All, NSCL/P)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	8q21.13	8	76595378	NR	ZFHX4-AS1			ENSG00000253661			rs7846606-?	rs7846606	0	7846606	intron_variant	0	NR	7E-06	5.15490195998574	(Meta-All, NSCL/P)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	8q21.13	8	82016363	NR	LINC02235 - AC027701.1	ENSG00000254689	ENSG00000254123		93164	82088	rs7820074-?	rs7820074	0	7820074	intergenic_variant	1	NR	9E-06	5.04575749056068	(Meta-All, NSCL/P)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	9q22.2	9	89421512	NR	SEMA4D			ENSG00000187764			rs4132699-?	rs4132699	0	4132699	intron_variant	0	NR	5E-07	6.30102999566398	(Meta-All, NSCL/P)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	13q32.3	13	99986138	NR	ZIC2			ENSG00000043355			rs13542-?	rs13542	0	13542	3_prime_UTR_variant	0	NR	1E-06	6	(Meta-All, NSCL/P)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	3q12.1	3	99873752	NR	CMSS1, FILIP1L			ENSG00000184220, ENSG00000168386			rs813218-?	rs813218	0	813218	intron_variant	0	NR	1E-06	6	(Meta-All, NSCL/P)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	2q35	2	219804017	NR	AC009502.1 - LINC01803	ENSG00000227308	ENSG00000228909		66080	100034	rs3815854-?	rs3815854	0	3815854	intergenic_variant	1	NR	7E-06	5.15490195998574	(Meta-All, NSCL/P)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	3p11.1	3	89485227	NR	EPHA3 - MTCO2P6	ENSG00000044524	ENSG00000240951		3093	102659	rs7632427-?	rs7632427	0	7632427	intergenic_variant	1	NR	4E-08	7.39794000867204	(Meta-All, NSCL/P)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	5q14.1	5	81359147	NR	ACOT12			ENSG00000172497			rs4703516-?	rs4703516	0	4703516	intron_variant	0	NR	3E-06	5.52287874528034	(Meta-All, NSCL/P)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	11q23.3	11	115269833	NR	CADM1			ENSG00000182985			rs7950069-?	rs7950069	0	7950069	intron_variant	0	NR	5E-06	5.30102999566398	(Meta-All, NSCL/P)			NR [497084]	N
2012-10-09	22863734	Ludwig KU	2012-08-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	Orofacial clefts	Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East Asian ancestry trios	22q13.31	22	44754779	NR	PRR5-ARHGAP8, ARHGAP8			ENSG00000248405, ENSG00000241484			rs5765956-?	rs5765956	0	5765956	intron_variant	0	NR	2E-06	5.69897000433602	(Meta-All, NSCL/P)			NR [497084]	N
2012-11-02	22941190	Holliday EG	2012-09-02	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22941190	Common variants at 6p21.1 are associated with large artery atherosclerotic stroke.	Stroke (ischemic)	421 European ancestry large artery atherosclerosis cases, 741 European ancestry ischemic stroke cases, 1,244 European ancestry controls	1,715 European ancestry large artery atherosclerosis cases, 9,552 European ancestry ischemic stroke cases, 52,695 European ancestry controls	6p21.1	6	44626422	CDC5L, SUPT3H	AL136140.2 - SUPT3H	ENSG00000279076	ENSG00000196284		73141	182895	rs556621-A	rs556621	0	556621	intergenic_variant	1	0.3	5E-08	7.30102999566398	(LAA)	1.21	[1.13-1.30]	Illumina [551514]	N
2012-11-02	22941191	Diskin SJ	2012-09-02	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22941191	Common variation at 6q16 within HACE1 and LIN28B influences susceptibility to neuroblastoma.	Neuroblastoma	2,101 European ancestry cases, 4,202 European ancestry controls	351 European ancestry cases, 780 European ancestry controls, 365 African American cases, 2,491 African American controls	6q16.3	6	104732910	HACE1	HACE1			ENSG00000085382			rs4336470-C	rs4336470	0	4336470	intron_variant	0	0.65	3E-11	10.5228787452803		1.26	[1.18-1.35]	Illumina [426697]	N
2012-11-02	22941191	Diskin SJ	2012-09-02	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22941191	Common variation at 6q16 within HACE1 and LIN28B influences susceptibility to neuroblastoma.	Neuroblastoma	2,101 European ancestry cases, 4,202 European ancestry controls	351 European ancestry cases, 780 European ancestry controls, 365 African American cases, 2,491 African American controls	6q16.3	6	104958399	LIN28B	LIN28B			ENSG00000187772			rs17065417-A	rs17065417	0	17065417	intron_variant	0	0.89	1E-08	8		1.38	[1.23-1.54]	Illumina [426697]	N
2008-06-16	18385676	Amos CI	2008-04-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18385676	Genome-wide association scan of tag SNPs identifies a susceptibility locus for lung cancer at 15q25.1.	Lung cancer	1,154 European ancestry cases, 1,137 European ancestry controls	2,724 European ancestry cases, 3,694 European ancestry controls	15q25.1	15	78513681	CHRNA5, CHRNA3, PSMA4, LOC123688	HYKK			ENSG00000188266			rs8034191-G	rs8034191	0	8034191	intron_variant	0	NR	3E-18	17.5228787452803		1.3	[1.15-1.47]	Illumina [317498]	N
2008-06-16	18385676	Amos CI	2008-04-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18385676	Genome-wide association scan of tag SNPs identifies a susceptibility locus for lung cancer at 15q25.1.	Lung cancer	1,154 European ancestry cases, 1,137 European ancestry controls	2,724 European ancestry cases, 3,694 European ancestry controls	1q23.2	1	159711078	CRP	CRPP1 - CRP	ENSG00000223603	ENSG00000132693		5471	1211	rs2808630-G	rs2808630	0	2808630	intergenic_variant	1	NR	7E-06	5.15490195998574		1.22	[1.10-1.35]	Illumina [317498]	N
2008-06-16	18385676	Amos CI	2008-04-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18385676	Genome-wide association scan of tag SNPs identifies a susceptibility locus for lung cancer at 15q25.1.	Lung cancer	1,154 European ancestry cases, 1,137 European ancestry controls	2,724 European ancestry cases, 3,694 European ancestry controls	3q28	3	190632672	IL1RAP	IL1RAP			ENSG00000196083			rs7626795-G	rs7626795	0	7626795	intron_variant	0	NR	8E-06	5.09691001300806		1.16	[1.05-1.28]	Illumina [317498]	N
2008-06-16	18372901	Tenesa A	2008-03-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372901	Genome-wide association scan identifies a colorectal cancer susceptibility locus on 11q23 and replicates risk loci at 8q24 and 18q21.	Colorectal cancer	981 European ancestry cases, 1,002 European ancestry controls	10,287 European ancestry cases, 10,401 European ancestry controls, 4,400 Japanese ancestry cases, 3,179 Japanese ancestry controls, 1,789 cases, 1,771 controls	8q24.21	8	127412547	POU5FIP1, HsG57825, DQ515897	PCAT1, POU5F1B, CASC8			ENSG00000253438, ENSG00000212993, ENSG00000246228			rs7014346-A	rs7014346	0	7014346	intron_variant	0	0.18	9E-26	25.0457574905607		1.19	[1.15-1.23]	Illumina [541628]	N
2008-06-16	18372901	Tenesa A	2008-03-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372901	Genome-wide association scan identifies a colorectal cancer susceptibility locus on 11q23 and replicates risk loci at 8q24 and 18q21.	Colorectal cancer	981 European ancestry cases, 1,002 European ancestry controls	10,287 European ancestry cases, 10,401 European ancestry controls, 4,400 Japanese ancestry cases, 3,179 Japanese ancestry controls, 1,789 cases, 1,771 controls	11q23.1	11	111300984	intergenic	COLCA2, COLCA1			ENSG00000214290, ENSG00000196167			rs3802842-C	rs3802842	0	3802842	intron_variant	0	0.43	6E-10	9.22184874961636		1.11	[1.08-1.15]	Illumina [541628]	N
2008-06-16	18372901	Tenesa A	2008-03-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372901	Genome-wide association scan identifies a colorectal cancer susceptibility locus on 11q23 and replicates risk loci at 8q24 and 18q21.	Colorectal cancer	981 European ancestry cases, 1,002 European ancestry controls	10,287 European ancestry cases, 10,401 European ancestry controls, 4,400 Japanese ancestry cases, 3,179 Japanese ancestry controls, 1,789 cases, 1,771 controls	18q21.1	18	48927093	SMAD7	SMAD7			ENSG00000101665			rs4939827-T	rs4939827	0	4939827	intron_variant	0	0.52	8E-28	27.0969100130081		1.2	[1.16-1.24]	Illumina [541628]	N
2008-06-16	18372905	Tomlinson IP	2008-03-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372905	A genome-wide association study identifies colorectal cancer susceptibility loci on chromosomes 10p14 and 8q23.3.	Colorectal cancer	922 European ancestry cases, 927 European ancestry controls	17,089 European ancestry cases, 16,862 European ancestry controls, 783 cases, 664 controls	10p14	10	8659256	intergenic	RNA5SP299 - AL355333.1	ENSG00000212505	ENSG00000270234		2425	64754	rs10795668-A	rs10795668	0	10795668	intergenic_variant	1	0.67	3E-13	12.5228787452803		1.12	[1.10-1.16]	Illumina [547647]	N
2008-06-16	18372905	Tomlinson IP	2008-03-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372905	A genome-wide association study identifies colorectal cancer susceptibility loci on chromosomes 10p14 and 8q23.3.	Colorectal cancer	922 European ancestry cases, 927 European ancestry controls	17,089 European ancestry cases, 16,862 European ancestry controls, 783 cases, 664 controls	8q23.3	8	116618444	EIF3H	AC105177.1 - EIF3H	ENSG00000253672	ENSG00000147677		214687	23686	rs16892766-A	rs16892766	0	16892766	intergenic_variant	1	0.07	3E-18	17.5228787452803		1.27	[1.20-1.34]	Illumina [547647]	N
2008-06-16	18372903	Zeggini E	2008-03-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	4,549 European ancestry cases, 5,579 European ancestry controls	24,194 European ancestry cases, 55,598 European ancestry controls	7p15.1	7	28140937	JAZF1	JAZF1			ENSG00000153814			rs864745-T	rs864745	0	864745	intron_variant	0	0.5	5E-14	13.301029995664		1.1	[1.07-1.13]	Affymetrix, Illumina [2202892] (imputed)	N
2008-06-16	18372903	Zeggini E	2008-03-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	4,549 European ancestry cases, 5,579 European ancestry controls	24,194 European ancestry cases, 55,598 European ancestry controls	10p13	10	12286011	CDC123, CAMK1D	CDC123 - RN7SL198P	ENSG00000151465	ENSG00000264036		35422	42121	rs12779790-G	rs12779790	0	12779790	intergenic_variant	1	0.18	1E-10	10		1.11	[1.07-1.14]	Affymetrix, Illumina [2202892] (imputed)	N
2008-06-16	18372903	Zeggini E	2008-03-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	4,549 European ancestry cases, 5,579 European ancestry controls	24,194 European ancestry cases, 55,598 European ancestry controls	12q21.1	12	71269322	LGR5, TSPAN8	TSPAN8			ENSG00000127324			rs7961581-C	rs7961581	0	7961581	intron_variant	0	0.27	1E-09	9		1.09	[1.06-1.12]	Affymetrix, Illumina [2202892] (imputed)	N
2008-06-16	18372903	Zeggini E	2008-03-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18372903	Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes.	Type 2 diabetes	4,549 European ancestry cases, 5,579 European ancestry controls	24,194 European ancestry cases, 55,598 European ancestry controls	2p21	2	43505684	THADA	THADA			ENSG00000115970			rs7578597-T	rs7578597	0	7578597	missense_variant	0	0.9	1E-09	9		1.15	[1.10-1.20]	Affymetrix, Illumina [2202892] (imputed)	N
